,StartDate2,EndDate1,StartDate1,EndDate2,WarNum,WarName,WarType,ccode,StateName,Side,TransFrom,WhereFought,Initiator,Outcome,TransTo,BatDeath,Version,SameSide,OppositeSide,AlliesWithinWar,AlliesBeforeWar,AlliesAfterWar,AlliesGainedDuringWar,AlliesLostDuringWar,AlliesGained2YearsBeforeWar,AlliesLost2YearsBeforeWar,AlliesGained2YearsAfterWar,AlliesLost2YearsAfterWar
310,2008-08-08,1992-05-13,1992-04-07,2008-08-08,215,Bosnian Independence,1,345,Yugoslavia,2,-8,2,1,4,877,1890,4,[],"[344L, 346L]",['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
311,2008-08-08,1994-05-12,1993-02-06,2008-08-08,216,Azeri-Armenian,1,373,Azerbaijan,2,872,2,2,2,-8,8500,4,[],[371L],['None'],['None'],['None'],[640L],['None'],"[359L, 365L, 369L, 370L, 371L, 372L, 701L, 702L, 703L, 704L, 705L, 365L, 370L, 371L, 372L, 702L, 703L, 704L, 705L]",['None'],['None'],['None']
312,2008-08-08,1994-05-12,1993-02-06,2008-08-08,216,Azeri-Armenian,1,371,Armenia,1,872,2,1,1,-8,5500,4,[],[373L],['None'],['None'],['None'],['None'],['None'],"[359L, 365L, 369L, 370L, 372L, 373L, 701L, 702L, 703L, 704L, 705L, 365L, 370L, 372L, 373L, 702L, 703L, 704L, 705L]",['None'],['None'],['None']
313,2008-08-08,1995-02-27,1995-01-09,2008-08-08,217,Cenepa Valley,1,130,Ecuador,2,-8,1,1,3,-8,550,4,[],[135L],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
314,2008-08-08,1995-02-27,1995-01-09,2008-08-08,217,Cenepa Valley,1,135,Peru,1,-8,1,2,3,-8,950,4,[],[130L],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
315,2008-08-08,2000-12-12,1998-05-06,2008-08-08,219,Badme Border,1,531,Eritrea,1,-8,4,1,6,-8,50000,4,[],[530L],['None'],['None'],['None'],[530L],['None'],['None'],['None'],[530L],['None']
316,2008-08-08,2000-12-12,1998-05-06,2008-08-08,219,Badme Border,1,530,Ethiopia,2,-8,4,2,6,-8,70000,4,[],[531L],['None'],['None'],['None'],[531L],['None'],['None'],['None'],[531L],['None']
317,2008-08-08,1999-06-10,1999-03-24,2008-08-08,221,War for Kosovo,1,640,Turkey,1,900,2,1,1,-8,0,4,"[325L, 200L, 2L, 210L, 220L, 255L]",[345L],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
318,2008-08-08,1999-06-10,1999-03-24,2008-08-08,221,War for Kosovo,1,325,Italy,1,900,2,1,1,-8,0,4,"[640L, 200L, 2L, 210L, 220L, 255L]",[345L],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
319,2008-08-08,1999-06-10,1999-03-24,2008-08-08,221,War for Kosovo,1,200,United Kingdom,1,900,2,1,1,-8,0,4,"[640L, 325L, 2L, 210L, 220L, 255L]",[345L],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
