,MemStartDate,AllStartDate,MemEndDate,AllEndDate,version4id,ccode,state_name,ss_type,left_censor,right_censor,defense,neutrality,nonaggression,entente,version
28,1816-01-01 00:00:00,1815-11-20 00:00:00,1822-10-31 00:00:00,1822-10-31 00:00:00,6,200,United Kingdom,Type I: Defense Pact,1.0,0,1,0,,1.0,4.1
29,1816-01-01 00:00:00,1815-11-20 00:00:00,1822-10-31 00:00:00,1822-10-31 00:00:00,6,255,Germany,Type I: Defense Pact,1.0,0,1,0,0.0,1.0,4.1
30,1816-01-01 00:00:00,1815-11-20 00:00:00,1822-10-31 00:00:00,1822-10-31 00:00:00,6,300,Austria-Hungary,Type I: Defense Pact,1.0,0,1,0,0.0,1.0,4.1
31,1816-01-01 00:00:00,1815-11-20 00:00:00,1822-10-31 00:00:00,1822-10-31 00:00:00,6,365,Russia,Type I: Defense Pact,1.0,0,1,0,0.0,1.0,4.1
32,1816-10-08 00:00:00,1816-08-10 00:00:00,1820-03-15 00:00:00,1820-03-15 00:00:00,7,210,Netherlands,Type I: Defense Pact,0.0,0,1,0,0.0,0.0,4.1
33,1816-10-08 00:00:00,1816-08-10 00:00:00,1820-03-15 00:00:00,1820-03-15 00:00:00,7,230,Spain,Type I: Defense Pact,0.0,0,1,0,0.0,0.0,4.1
34,1827-06-07 00:00:00,1827-07-06 00:00:00,1829-09-14 00:00:00,1829-09-14 00:00:00,8,200,United Kingdom,Type III: Entente,0.0,0,0,0,0.0,1.0,4.1
35,1827-06-07 00:00:00,1827-07-06 00:00:00,1829-09-14 00:00:00,1829-09-14 00:00:00,8,220,France,Type III: Entente,0.0,0,0,0,0.0,1.0,4.1
36,1827-06-07 00:00:00,1827-07-06 00:00:00,1829-09-14 00:00:00,1829-09-14 00:00:00,8,365,Russia,Type III: Entente,0.0,0,0,0,0.0,1.0,4.1
37,1831-07-23 00:00:00,1831-07-23 00:00:00,1848-03-24 00:00:00,1848-03-24 00:00:00,9,300,Austria-Hungary,Type I: Defense Pact,0.0,0,1,0,0.0,0.0,4.1
38,1831-07-23 00:00:00,1831-07-23 00:00:00,1848-03-24 00:00:00,1848-03-24 00:00:00,9,325,Italy,Type I: Defense Pact,0.0,0,1,0,0.0,0.0,4.1
